google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long
2741 Northeast Elliott Avenue,92.07319360473801,429500,2.0,3.0,97030,North Central,45.51686859,-122.4251938
1438 Northeast 19th Street,92.07319360473801,255000,2.0,3.0,97030,North Central,45.51039124,-122.4175339
2280 Northeast Francis Court,92.7813438494503,392000,2.0,3.0,97030,Northeast,45.51283646,-122.411171
1761 Northwest 19th Street,93.08483681146986,451000,2.0,3.0,97030,Northwest,45.51112366,-122.4494019
624 Northeast 185th Place,139.69198866250642,400000,2.0,4.0,97230,North Gresham,45.52760315,-122.4717178
18152 Northeast Everett Court,13.544093965689399,281000,1.0,2.0,97230,Rockwood,45.5242424,-122.4759369
21552 Southeast Ash Street,68.49270573653143,337000,1.0,3.0,97030,North Central,45.52074814,-122.4408493
275 Southeast 193rd Avenue,89.89480295911079,366000,2.0,3.0,97233,Rockwood,45.52028656,-122.4644394
17098 East Burnside Street,66.31431509090422,267000,1.0,3.0,97233,Rockwood,45.52186203,-122.4870224
1908 Northwest Florence Avenue,140.24581254788302,305000,4.0,3.0,97030,Northwest,45.50979614,-122.4432449
3120 Northeast Cleveland Avenue,192.08591972589073,410000,4.0,4.0,97030,North Central,45.51929474,-122.4208755
1245 Northeast 29th Street,92.07319360473801,387000,2.0,3.0,97030,North Central,45.51796341,-122.4185944
2230 Northeast Elliott Avenue,92.07319360473801,352000,2.0,3.0,97030,North Central,45.5125351,-122.423851
16632 Southeast Ankeny Street,142.74655334385037,370000,2.0,4.0,97233,Rockwood,45.52113724,-122.4914932
1036 Southeast 225th Avenue,92.07319360473801,360000,2.0,3.0,97030,North Central,45.51495743,-122.4312057
21403 Southeast Alder Street,92.07319360473801,370000,2.0,3.0,97030,North Central,45.51780319,-122.4428864
16924 Northeast Davis Street,166.40857047158173,435000,3.0,4.0,97230,Rockwood,45.52373886,-122.4887314
16551 Northeast Pacific Drive,170.4551432985091,422000,3.0,4.0,97230,Wilkes East,45.5298996,-122.4927063
17840 Southeast Mill Court,184.97605005790552,390000,2.0,5.0,97233,Centennial,45.50971222,-122.4791718
18811 Northeast Holladay Street,63.25975040956025,329000,1.0,3.0,97230,North Gresham,45.52985764,-122.4696579
1140 Southeast 224th Avenue,68.49270573653143,335000,1.0,3.0,97030,North Central,45.51413345,-122.4322205
21605 Southeast Alder Street,144.92494398947758,381000,2.0,4.0,97030,North Central,45.51779938,-122.4402924
257 Southeast 188th Avenue,37.04305257437122,218100,2.0,2.0,97233,Rockwood,45.52100372,-122.4703445
103 Southeast 198th Avenue,89.89480295911079,385000,2.0,3.0,97233,Rockwood,45.52140808,-122.4592133
3520 Northeast View Avenue,68.49270573653143,327000,1.0,3.0,97030,North Central,45.52241516,-122.4122925
960 Southeast 218th Avenue,68.49270573653143,318000,1.0,3.0,97030,North Central,45.51541519,-122.4377594
27 Northeast 219th Lane,221.35718224242373,415000,3.0,5.0,97030,North Central,45.52252579,-122.4373398
19108 Northeast Hassalo Street,139.69198866250642,395000,2.0,4.0,97230,North Gresham,45.53015137,-122.4665527
16636 Northeast San Rafael Drive,117.60339291376954,498000,3.0,3.0,97230,Wilkes East,45.53735733,-122.4911423
16245 Northeast Tillamook Court,170.4551432985091,490000,3.0,4.0,97230,Wilkes East,45.53807831,-122.4947357
16649 Southeast Ankeny Street,89.89480295911079,360000,2.0,3.0,97233,Rockwood,45.52155685,-122.4911804
1649 Northeast 169th Avenue,194.0356311667157,540000,4.0,4.0,97230,Wilkes East,45.53506088,-122.4895248
739 Southeast 207th Avenue,144.92494398947758,450000,2.0,4.0,97030,North Central,45.51692963,-122.4508209
1129 Southeast 179th Avenue,119.1660654756438,40000,1.0,4.0,97233,Rockwood,45.51463699,-122.4792862
19101 Northeast Wasco Court,63.25975040956025,175000,1.0,3.0,97230,North Gresham,45.53193283,-122.4666061
1431 Northeast 176th Avenue,170.4551432985091,474000,3.0,4.0,97230,Wilkes East,45.5334816,-122.4822769
875 Northeast 22nd Court,92.07319360473801,375000,2.0,3.0,97030,North Central,45.51290894,-122.4227295
17004 Northeast Davis Street,89.97633221863556,375000,2.0,3.0,97230,Rockwood,45.52352524,-122.4876862
2365 Northeast Hood Avenue,92.07319360473801,289000,2.0,3.0,97030,North Central,45.51322556,-122.4273224
1116 Northeast 196th Avenue,163.272476530713,431000,3.0,4.0,97230,North Gresham,45.53114319,-122.460762
183 Northeast 184th Place,66.39584435042897,345000,1.0,3.0,97230,Rockwood,45.52370071,-122.472908
1244 Northeast 29th Street,92.07319360473801,409000,2.0,3.0,97030,North Central,45.5175705,-122.4186783
1819 Northwest Wonderview Avenue,169.51707506441602,470000,3.0,4.0,97030,Northwest,45.51099396,-122.4520798
165 Southeast Ash Street,166.32704121205697,377500,3.0,4.0,97233,Rockwood,45.5213356,-122.4666901
2013 Northwest 17th Street,116.66532467967643,430000,3.0,3.0,97030,Northwest,45.5096283,-122.4519577
1840 Northeast Juniper Avenue,68.49270573653143,346000,1.0,3.0,97030,North Central,45.50984955,-122.4222336
20715 Southeast Main Drive,68.49270573653143,330000,1.0,3.0,97030,North Central,45.51496506,-122.4506378
21688 Southeast Ankeny Street,115.65368147294458,375000,3.0,3.0,97030,North Central,45.52178574,-122.4396667
